May 20 11:51:56 localhost app-12: [PolicyManagerApp] <> INFO  Loading Settings...
May 20 11:51:56 localhost app-12: [AppBase] <> INFO  Starting   policy-manager [12] ...
May 20 11:51:56 localhost app-12: [AppBase] <> INFO  Started    policy-manager [12] ...
May 20 13:43:09 localhost app-12: [AppBase] <> INFO  Stopping   policy-manager [12] ...
May 20 13:43:09 localhost app-12: [AppBase] <> INFO  Stopped    policy-manager [12] ...
May 20 13:43:14 localhost app-12: [PolicyManagerApp] <> INFO  Loading Settings...
May 20 13:43:14 localhost app-12: [AppBase] <> INFO  Starting   policy-manager [12] ...
May 20 13:43:14 localhost app-12: [AppBase] <> INFO  Started    policy-manager [12] ...
May 20 13:45:13 localhost app-12: [AppBase] <> INFO  Stopping   policy-manager [12] ...
May 20 13:45:13 localhost app-12: [AppBase] <> INFO  Stopped    policy-manager [12] ...
May 21 09:41:28 localhost app-12: [WireGuardVpnApp] <> INFO  Initializing Settings...
May 21 09:41:28 localhost app-12: [WireGuardVpnApp] <> INFO  Creating the default settings...
May 21 09:41:28 localhost app-12: [WireGuardVpnApp] <> WARN  192.168.252.60
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  Stopping WireGuard interface and tunnels
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: wg-quick: `wg0' is not a WireGuard interface
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> ERROR Failed calling WireGuard start script (return code: 1)
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  Starting WireGuard interface and tunnels
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip link add wg0 type wireguard
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] wg setconf wg0 /dev/fd/63
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip -4 address add 192.168.64.1 dev wg0
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip link set mtu 1500 up dev wg0
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:41:30 localhost app-12: [WireGuardVpnApp] <> INFO  Loading Settings...
May 21 09:41:30 localhost app-12: [AppBase] <> INFO  Starting   wireguard-vpn [12] ...
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  Starting WireGuard interface and tunnels
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: wg-quick: `wg0' already exists
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> ERROR Failed calling WireGuard start script (return code: 1)
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:41:30 localhost app-12: [AppBase] <> INFO  Started    wireguard-vpn [12] ...
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  Stopping WireGuard interface and tunnels
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: 
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip link delete dev wg0
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  Starting WireGuard interface and tunnels
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: 
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip link add wg0 type wireguard
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] wg setconf wg0 /dev/fd/63
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip -4 address add 192.168.64.1 dev wg0
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip link set mtu 1500 up dev wg0
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip -4 route add 192.168.64.3/32 dev wg0
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:44:02 localhost app-12: [AppBase] <> INFO  Stopping   wireguard-vpn [12] ...
May 21 09:44:02 localhost app-12: [WireGuardVpnMonitor] <> INFO  WireGuardVpn monitor was interrupted
May 21 09:44:02 localhost app-12: [WireGuardVpnManager] <> INFO  Stopping WireGuard interface and tunnels
May 21 09:44:02 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: 
May 21 09:44:02 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip link delete dev wg0
May 21 09:44:02 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:44:02 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:44:02 localhost app-12: [AppBase] <> INFO  Stopped    wireguard-vpn [12] ...
May 21 09:44:02 localhost app-12: [AppBase] <> INFO  Destroying wireguard-vpn [12] ...
May 21 09:44:02 localhost app-12: [AppBase] <> INFO  Destroyed  wireguard-vpn [12] ...
Aug  6 09:57:56 localhost app-12: [ReportsApp] <> INFO  Loading Settings...
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Creating Schema: 
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Top Blocked Ports" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/shield/reports/top-ports-by-blocked.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Top Blocked Clients" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/shield/reports/top-client-by-blocked.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Scanned Session Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/shield/reports/shield-all-events.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Blocked Session Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/shield/reports/shield-blocked-events.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Top Blocked Usernames" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/shield/reports/top-username-by-blocked.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Blocked Sessions" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/shield/reports/sessions-blocked.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Scanned Sessions" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/shield/reports/sessions-scanned.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Top Blocked Hostnames" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/shield/reports/top-hostname-by-blocked.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Top Blocked Servers" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/shield/reports/top-server-by-blocked.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "All Email Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/phish-blocker/reports/phish-blocker-all-email-events.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Email Usage (all)" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/phish-blocker/reports/email-usage-all.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Phish Ratio" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/phish-blocker/reports/spam-ratio.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Email Usage (phish)" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/phish-blocker/reports/email-usage-spam.json]
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Email Usage (clean)" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/phish-blocker/reports/email-usage-clean.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "All Phish Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/phish-blocker/reports/phish-blocker-all-phish-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Phish Blocker Summary" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/phish-blocker/reports/summary.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Quarantined Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/phish-blocker/reports/phish-blocker-quarantined-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Top Phish Sender Addresses" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/phish-blocker/reports/top-spam-sender-hosts.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Top Phish Recipients" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/phish-blocker/reports/top-spam-receivers.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Email Usage (scanned)" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/phish-blocker/reports/email-usage-scanned.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Session Timeout User Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/captive-portal-session-timeout.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Passed Session Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/captive-portal-pass-rule-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "All Session Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/captive-portal-all-rule-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "All User Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/captive-portal-all-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "User Logout User Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/captive-portal-user-logout.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Login Success User Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/captive-portal-login-success.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Captive Portal Summary" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/summary.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Admin Logout User Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/captive-portal-admin-logout.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Top Blocked Clients" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/top-blocked-clients.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Captured Session Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/captive-portal-capture-rule-events.json]
