Dec 23 03:14:54 localhost app-9: [ClamClient] <TCP105218289770431> WARN  <UTThread-11493>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 03:14:54 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 03:14:54 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 03:14:54 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 03:14:54 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:03:42 localhost app-9: [ClamClient] <TCP105218289792077> WARN  <UTThread-11494>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:03:42 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:03:42 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:03:42 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:03:42 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:11:12 localhost app-9: [ClamClient] <TCP105218289794236> WARN  <UTThread-11495>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:11:12 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:11:12 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:11:12 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:11:12 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:11:12 localhost app-9: [ClamClient] <TCP105218289794238> WARN  <UTThread-11496>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:11:12 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:11:12 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:11:12 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:11:12 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:11:12 localhost app-9: [ClamClient] <TCP105218289794242> WARN  <UTThread-11497>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:11:12 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:11:12 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:11:12 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:11:12 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:11:13 localhost app-9: [ClamClient] <TCP105218289794244> WARN  <UTThread-11498>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:11:13 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:11:13 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:11:13 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:11:13 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:11:13 localhost app-9: [ClamClient] <TCP105218289794242> WARN  <UTThread-11499>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:11:13 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:11:13 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:11:13 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:11:13 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:11:13 localhost app-9: [ClamClient] <TCP105218289794247> WARN  <UTThread-11500>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
